county,office,district,party,candidate,votes
Adair,United States Senator,,Republican,Eric Schmitt,4423
Adair,United States Senator,,Democratic,Trudy Busch Valentine,2460
Adair,United States Senator,,Libertarian,Jonathan Dine,149
Adair,United States Senator,,Constitution,Paul Venable,39
Adair,United States Senator,,Write-In,Nathan V. Mooney,0
Adair,United States Senator,,Write-In,Theo Brown Sr,0
Adair,United States Senator,,Write-In,David Kirk,0
Andrew,United States Senator,,Republican,Eric Schmitt,4885
Andrew,United States Senator,,Democratic,Trudy Busch Valentine,1657
Andrew,United States Senator,,Libertarian,Jonathan Dine,135
Andrew,United States Senator,,Constitution,Paul Venable,50
Andrew,United States Senator,,Write-In,Nathan V. Mooney,0
Andrew,United States Senator,,Write-In,Theo Brown Sr,0
Andrew,United States Senator,,Write-In,David Kirk,0
Atchison,United States Senator,,Republican,Eric Schmitt,1468
Atchison,United States Senator,,Democratic,Trudy Busch Valentine,392
Atchison,United States Senator,,Libertarian,Jonathan Dine,32
Atchison,United States Senator,,Constitution,Paul Venable,18
Atchison,United States Senator,,Write-In,Nathan V. Mooney,0
Atchison,United States Senator,,Write-In,Theo Brown Sr,0
Atchison,United States Senator,,Write-In,David Kirk,0
Audrain,United States Senator,,Republican,Eric Schmitt,5209
Audrain,United States Senator,,Democratic,Trudy Busch Valentine,2069
Audrain,United States Senator,,Libertarian,Jonathan Dine,145
Audrain,United States Senator,,Constitution,Paul Venable,44
Audrain,United States Senator,,Write-In,Nathan V. Mooney,2
Audrain,United States Senator,,Write-In,Theo Brown Sr,0
Audrain,United States Senator,,Write-In,David Kirk,0
Barry,United States Senator,,Republican,Eric Schmitt,8537
Barry,United States Senator,,Democratic,Trudy Busch Valentine,2046
Barry,United States Senator,,Libertarian,Jonathan Dine,247
Barry,United States Senator,,Constitution,Paul Venable,143
Barry,United States Senator,,Write-In,Nathan V. Mooney,0
Barry,United States Senator,,Write-In,Theo Brown Sr,0
Barry,United States Senator,,Write-In,David Kirk,0
Barton,United States Senator,,Republican,Eric Schmitt,3654
Barton,United States Senator,,Democratic,Trudy Busch Valentine,586
Barton,United States Senator,,Libertarian,Jonathan Dine,57
Barton,United States Senator,,Constitution,Paul Venable,29
Barton,United States Senator,,Write-In,Nathan V. Mooney,0
Barton,United States Senator,,Write-In,Theo Brown Sr,0
Barton,United States Senator,,Write-In,David Kirk,0
Bates,United States Senator,,Republican,Eric Schmitt,4227
Bates,United States Senator,,Democratic,Trudy Busch Valentine,1362
Bates,United States Senator,,Libertarian,Jonathan Dine,125
Bates,United States Senator,,Constitution,Paul Venable,52
Bates,United States Senator,,Write-In,Nathan V. Mooney,0
Bates,United States Senator,,Write-In,Theo Brown Sr,0
Bates,United States Senator,,Write-In,David Kirk,0
Benton,United States Senator,,Republican,Eric Schmitt,5717
Benton,United States Senator,,Democratic,Trudy Busch Valentine,1773
Benton,United States Senator,,Libertarian,Jonathan Dine,143
Benton,United States Senator,,Constitution,Paul Venable,95
Benton,United States Senator,,Write-In,Nathan V. Mooney,0
Benton,United States Senator,,Write-In,Theo Brown Sr,0
Benton,United States Senator,,Write-In,David Kirk,0
Bollinger,United States Senator,,Republican,Eric Schmitt,3589
Bollinger,United States Senator,,Democratic,Trudy Busch Valentine,507
Bollinger,United States Senator,,Libertarian,Jonathan Dine,47
Bollinger,United States Senator,,Constitution,Paul Venable,25
Bollinger,United States Senator,,Write-In,Nathan V. Mooney,0
Bollinger,United States Senator,,Write-In,Theo Brown Sr,0
Bollinger,United States Senator,,Write-In,David Kirk,0
Boone,United States Senator,,Republican,Eric Schmitt,25940
Boone,United States Senator,,Democratic,Trudy Busch Valentine,35608
Boone,United States Senator,,Libertarian,Jonathan Dine,1243
Boone,United States Senator,,Constitution,Paul Venable,318
Boone,United States Senator,,Write-In,Nathan V. Mooney,0
Boone,United States Senator,,Write-In,Theo Brown Sr,1
Boone,United States Senator,,Write-In,David Kirk,0
Buchanan,United States Senator,,Republican,Eric Schmitt,14828
Buchanan,United States Senator,,Democratic,Trudy Busch Valentine,8884
Buchanan,United States Senator,,Libertarian,Jonathan Dine,574
Buchanan,United States Senator,,Constitution,Paul Venable,283
Buchanan,United States Senator,,Write-In,Nathan V. Mooney,0
Buchanan,United States Senator,,Write-In,Theo Brown Sr,0
Buchanan,United States Senator,,Write-In,David Kirk,0
Butler,United States Senator,,Republican,Eric Schmitt,9345
Butler,United States Senator,,Democratic,Trudy Busch Valentine,1872
Butler,United States Senator,,Libertarian,Jonathan Dine,226
Butler,United States Senator,,Constitution,Paul Venable,76
Butler,United States Senator,,Write-In,Nathan V. Mooney,0
Butler,United States Senator,,Write-In,Theo Brown Sr,0
Butler,United States Senator,,Write-In,David Kirk,0
Caldwell,United States Senator,,Republican,Eric Schmitt,2588
Caldwell,United States Senator,,Democratic,Trudy Busch Valentine,745
Caldwell,United States Senator,,Libertarian,Jonathan Dine,68
Caldwell,United States Senator,,Constitution,Paul Venable,31
Caldwell,United States Senator,,Write-In,Nathan V. Mooney,0
Caldwell,United States Senator,,Write-In,Theo Brown Sr,0
Caldwell,United States Senator,,Write-In,David Kirk,0
Callaway,United States Senator,,Republican,Eric Schmitt,9917
Callaway,United States Senator,,Democratic,Trudy Busch Valentine,4622
Callaway,United States Senator,,Libertarian,Jonathan Dine,332
Callaway,United States Senator,,Constitution,Paul Venable,132
Callaway,United States Senator,,Write-In,Nathan V. Mooney,0
Callaway,United States Senator,,Write-In,Theo Brown Sr,0
Callaway,United States Senator,,Write-In,David Kirk,0
Camden,United States Senator,,Republican,Eric Schmitt,13380
Camden,United States Senator,,Democratic,Trudy Busch Valentine,4384
Camden,United States Senator,,Libertarian,Jonathan Dine,331
Camden,United States Senator,,Constitution,Paul Venable,193
Camden,United States Senator,,Write-In,Nathan V. Mooney,0
Camden,United States Senator,,Write-In,Theo Brown Sr,0
Camden,United States Senator,,Write-In,David Kirk,0
Cape Girardeau,United States Senator,,Republican,Eric Schmitt,20511
Cape Girardeau,United States Senator,,Democratic,Trudy Busch Valentine,6650
Cape Girardeau,United States Senator,,Libertarian,Jonathan Dine,473
Cape Girardeau,United States Senator,,Constitution,Paul Venable,254
Cape Girardeau,United States Senator,,Write-In,Nathan V. Mooney,0
Cape Girardeau,United States Senator,,Write-In,Theo Brown Sr,0
Cape Girardeau,United States Senator,,Write-In,David Kirk,0
Carroll,United States Senator,,Republican,Eric Schmitt,2610
Carroll,United States Senator,,Democratic,Trudy Busch Valentine,685
Carroll,United States Senator,,Libertarian,Jonathan Dine,49
Carroll,United States Senator,,Constitution,Paul Venable,15
Carroll,United States Senator,,Write-In,Nathan V. Mooney,0
Carroll,United States Senator,,Write-In,Theo Brown Sr,0
Carroll,United States Senator,,Write-In,David Kirk,0
Carter,United States Senator,,Republican,Eric Schmitt,1578
Carter,United States Senator,,Democratic,Trudy Busch Valentine,298
Carter,United States Senator,,Libertarian,Jonathan Dine,26
Carter,United States Senator,,Constitution,Paul Venable,9
Carter,United States Senator,,Write-In,Nathan V. Mooney,0
Carter,United States Senator,,Write-In,Theo Brown Sr,0
Carter,United States Senator,,Write-In,David Kirk,0
Cass,United States Senator,,Republican,Eric Schmitt,24848
Cass,United States Senator,,Democratic,Trudy Busch Valentine,13927
Cass,United States Senator,,Libertarian,Jonathan Dine,744
Cass,United States Senator,,Constitution,Paul Venable,279
Cass,United States Senator,,Write-In,Nathan V. Mooney,0
Cass,United States Senator,,Write-In,Theo Brown Sr,0
Cass,United States Senator,,Write-In,David Kirk,1
Cedar,United States Senator,,Republican,Eric Schmitt,3962
Cedar,United States Senator,,Democratic,Trudy Busch Valentine,929
Cedar,United States Senator,,Libertarian,Jonathan Dine,149
Cedar,United States Senator,,Constitution,Paul Venable,109
Cedar,United States Senator,,Write-In,Nathan V. Mooney,0
Cedar,United States Senator,,Write-In,Theo Brown Sr,0
Cedar,United States Senator,,Write-In,David Kirk,0
Chariton,United States Senator,,Republican,Eric Schmitt,2083
Chariton,United States Senator,,Democratic,Trudy Busch Valentine,667
Chariton,United States Senator,,Libertarian,Jonathan Dine,38
Chariton,United States Senator,,Constitution,Paul Venable,25
Chariton,United States Senator,,Write-In,Nathan V. Mooney,0
Chariton,United States Senator,,Write-In,Theo Brown Sr,0
Chariton,United States Senator,,Write-In,David Kirk,0
Christian,United States Senator,,Republican,Eric Schmitt,24206
